AUTH_METHOD;TIMESTAMP;ACCOUNT_UID;ACCOUNT_NAME;ACCOUNT_EMAIL;ACCOUNT_ORGANIZATION_UID;ACCOUNT_ORGANIZATION_NAME;ACCOUNT_TAGS;FINDING_UID;PROVIDER;CHECK_ID;CHECK_TITLE;CHECK_TYPE;STATUS;STATUS_EXTENDED;MUTED;SERVICE_NAME;SUBSERVICE_NAME;SEVERITY;RESOURCE_TYPE;RESOURCE_UID;RESOURCE_NAME;RESOURCE_DETAILS;RESOURCE_TAGS;PARTITION;REGION;DESCRIPTION;RISK;RELATED_URL;REMEDIATION_RECOMMENDATION_TEXT;REMEDIATION_RECOMMENDATION_URL;REMEDIATION_CODE_NATIVEIAC;REMEDIATION_CODE_TERRAFORM;REMEDIATION_CODE_CLI;REMEDIATION_CODE_OTHER;COMPLIANCE;CATEGORIES;DEPENDS_ON;RELATED_TO;NOTES;PROWLER_VERSION;ADDITIONAL_URLS
profile: None;2025-12-17 16:42:12.021124;509256336937;;;;;;prowler-aws-ec2_ebs_default_encryption-509256336937-eu-north-1-509256336937;aws;ec2_ebs_default_encryption;Check if EBS Default Encryption is activated.;Data Protection;FAIL;EBS Default Encryption is not activated.;False;ec2;ebs;medium;Other;arn:aws:ec2:eu-north-1:509256336937:volume;509256336937;;;aws;eu-north-1;Check if EBS Default Encryption is activated.;If not enabled sensitive information at rest is not protected.;;Enable Encryption. Use a CMK where possible. It will provide additional management and privacy benefits.;https://aws.amazon.com/premiumsupport/knowledge-center/ebs-automatic-encryption/;;https://docs.prowler.com/checks/aws/general-policies/ensure-ebs-default-encryption-is-enabled#terraform;aws ec2 enable-ebs-encryption-by-default;https://docs.prowler.com/checks/aws/general-policies/ensure-ebs-default-encryption-is-enabled#aws-console;KISA-ISMS-P-2023-korean: 2.7.1, 2.10.2 | C5-2025: OPS-31.01B, IAM-07.03B, CRY-01.02AC, CRY-05.01AC, PSS-12.02B | MITRE-ATTACK: T1119 | AWS-Foundational-Security-Best-Practices: EC2.7 | HIPAA: 164_308_a_1_ii_b, 164_308_a_4_ii_a, 164_312_a_2_iv, 164_312_e_2_ii | FFIEC: d3-pc-am-b-12 | NIST-800-53-Revision-5: au_9_3, cm_6_a, cm_9_b, cp_9_d, sc_8_3, sc_8_4, sc_13_a, sc_28_1, si_19_4 | KISA-ISMS-P-2023: 2.7.1, 2.10.2 | RBI-Cyber-Security-Framework: annex_i_1_3 | NIST-800-53-Revision-4: sc_28 | CISA: your-systems-3, your-data-1 | FedRAMP-20x-KSI-Low-25.05C: ksi-svc | PCI-3.2.1: 3.4, 3.4.1, 3.4.1.a, 3.4.1.c, 3.4.a, 3.4.b, 8.2, 8.2.1, 8.2.1.a | GxP-21-CFR-Part-11: 11.10-g, 11.30 | ISO27001-2022: A.8.11, A.8.24 | AWS-Audit-Manager-Control-Tower-Guardrails: 1.0.3 | CCC: CCC.Core.CN02.AR01 | GxP-EU-Annex-11: 7.1-data-storage-damage-protection | AWS-Well-Architected-Framework-Security-Pillar: SEC08-BP02;encryption;;;;5.15.1;
profile: None;2025-12-17 16:42:12.021124;509256336937;;;;;;prowler-aws-ec2_ebs_default_encryption-509256336937-us-east-1-509256336937;aws;ec2_ebs_default_encryption;Check if EBS Default Encryption is activated.;Data Protection;FAIL;EBS Default Encryption is not activated.;False;ec2;ebs;medium;Other;arn:aws:ec2:us-east-1:509256336937:volume;509256336937;;;aws;us-east-1;Check if EBS Default Encryption is activated.;If not enabled sensitive information at rest is not protected.;;Enable Encryption. Use a CMK where possible. It will provide additional management and privacy benefits.;https://aws.amazon.com/premiumsupport/knowledge-center/ebs-automatic-encryption/;;https://docs.prowler.com/checks/aws/general-policies/ensure-ebs-default-encryption-is-enabled#terraform;aws ec2 enable-ebs-encryption-by-default;https://docs.prowler.com/checks/aws/general-policies/ensure-ebs-default-encryption-is-enabled#aws-console;KISA-ISMS-P-2023-korean: 2.7.1, 2.10.2 | C5-2025: OPS-31.01B, IAM-07.03B, CRY-01.02AC, CRY-05.01AC, PSS-12.02B | MITRE-ATTACK: T1119 | AWS-Foundational-Security-Best-Practices: EC2.7 | HIPAA: 164_308_a_1_ii_b, 164_308_a_4_ii_a, 164_312_a_2_iv, 164_312_e_2_ii | FFIEC: d3-pc-am-b-12 | NIST-800-53-Revision-5: au_9_3, cm_6_a, cm_9_b, cp_9_d, sc_8_3, sc_8_4, sc_13_a, sc_28_1, si_19_4 | KISA-ISMS-P-2023: 2.7.1, 2.10.2 | RBI-Cyber-Security-Framework: annex_i_1_3 | NIST-800-53-Revision-4: sc_28 | CISA: your-systems-3, your-data-1 | FedRAMP-20x-KSI-Low-25.05C: ksi-svc | PCI-3.2.1: 3.4, 3.4.1, 3.4.1.a, 3.4.1.c, 3.4.a, 3.4.b, 8.2, 8.2.1, 8.2.1.a | GxP-21-CFR-Part-11: 11.10-g, 11.30 | ISO27001-2022: A.8.11, A.8.24 | AWS-Audit-Manager-Control-Tower-Guardrails: 1.0.3 | CCC: CCC.Core.CN02.AR01 | GxP-EU-Annex-11: 7.1-data-storage-damage-protection | AWS-Well-Architected-Framework-Security-Pillar: SEC08-BP02;encryption;;;;5.15.1;
profile: None;2025-12-17 16:42:12.021124;509256336937;;;;;;prowler-aws-ec2_ebs_volume_encryption-509256336937-eu-north-1-vol-0202cdf9da83fda20;aws;ec2_ebs_volume_encryption;Ensure there are no EBS Volumes unencrypted.;Data Protection;FAIL;EBS Snapshot vol-0202cdf9da83fda20 is unencrypted.;False;ec2;volume;medium;AwsEc2Volume;arn:aws:ec2:eu-north-1:509256336937:volume/vol-0202cdf9da83fda20;vol-0202cdf9da83fda20;;;aws;eu-north-1;Ensure there are no EBS Volumes unencrypted.;Data encryption at rest prevents data visibility in the event of its unauthorized access or theft.;;Encrypt all EBS volumes and Enable Encryption by default You can configure your AWS account to enforce the encryption of the new EBS volumes and snapshot copies that you create. For example, Amazon EBS encrypts the EBS volumes created when you launch an instance and the snapshots that you copy from an unencrypted snapshot.;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html;;;;;KISA-ISMS-P-2023-korean: 2.7.1, 2.10.2 | C5-2025: OPS-31.01B, IAM-07.03B, CRY-01.02AC, CRY-03.01B, CRY-05.01AC, PSS-12.02B | MITRE-ATTACK: T1119 | AWS-Foundational-Security-Best-Practices: EC2.3 | NIST-800-171-Revision-2: 3_5_10, 3_13_11, 3_13_16 | HIPAA: 164_308_a_1_ii_b, 164_308_a_4_ii_a, 164_312_a_2_iv, 164_312_c_1, 164_312_c_2, 164_312_e_2_ii | PCI-4.0: 3.5.1.20, 8.3.2.34 | FFIEC: d3-pc-am-b-12 | CIS-1.5: 2.2.1 | ProwlerThreatScore-1.0: 4.2.1 | NIST-800-53-Revision-5: au_9_3, cm_6_a, cm_9_b, cp_9_d, sc_8_3, sc_8_4, sc_13_a, sc_28_1, si_19_4 | ENS-RD2022: mp.si.2.aws.kms.1 | SOC2: pi_1_5 | FedRamp-Moderate-Revision-4: sc-28 | KISA-ISMS-P-2023: 2.7.1, 2.10.2 | RBI-Cyber-Security-Framework: annex_i_1_3 | CIS-3.0: 2.2.1 | CIS-1.4: 2.2.1 | CIS-4.0.1: 5.1.1 | NIST-800-53-Revision-4: sc_28 | CISA: your-systems-3, your-data-1, your-data-2 | CIS-2.0: 2.2.1 | GDPR: article_32 | PCI-3.2.1: 3.4, 3.4.1, 3.4.1.a, 3.4.1.c, 3.4.a, 3.4.b, 8.2, 8.2.1, 8.2.1.a | GxP-21-CFR-Part-11: 11.10-g, 11.30 | ISO27001-2022: A.8.11, A.8.24 | AWS-Audit-Manager-Control-Tower-Guardrails: 1.0.3 | CCC: CCC.Core.CN02.AR01 | CIS-5.0: 5.1.1 | GxP-EU-Annex-11: 7.1-data-storage-damage-protection | AWS-Well-Architected-Framework-Security-Pillar: SEC08-BP02 | NIST-CSF-1.1: ds_1;encryption;;;;5.15.1;
profile: None;2025-12-17 16:42:12.021124;509256336937;;;;;;prowler-aws-ec2_ebs_volume_encryption-509256336937-eu-north-1-vol-0a8e4e6347e00e8e4;aws;ec2_ebs_volume_encryption;Ensure there are no EBS Volumes unencrypted.;Data Protection;FAIL;EBS Snapshot vol-0a8e4e6347e00e8e4 is unencrypted.;False;ec2;volume;medium;AwsEc2Volume;arn:aws:ec2:eu-north-1:509256336937:volume/vol-0a8e4e6347e00e8e4;vol-0a8e4e6347e00e8e4;;;aws;eu-north-1;Ensure there are no EBS Volumes unencrypted.;Data encryption at rest prevents data visibility in the event of its unauthorized access or theft.;;Encrypt all EBS volumes and Enable Encryption by default You can configure your AWS account to enforce the encryption of the new EBS volumes and snapshot copies that you create. For example, Amazon EBS encrypts the EBS volumes created when you launch an instance and the snapshots that you copy from an unencrypted snapshot.;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html;;;;;KISA-ISMS-P-2023-korean: 2.7.1, 2.10.2 | C5-2025: OPS-31.01B, IAM-07.03B, CRY-01.02AC, CRY-03.01B, CRY-05.01AC, PSS-12.02B | MITRE-ATTACK: T1119 | AWS-Foundational-Security-Best-Practices: EC2.3 | NIST-800-171-Revision-2: 3_5_10, 3_13_11, 3_13_16 | HIPAA: 164_308_a_1_ii_b, 164_308_a_4_ii_a, 164_312_a_2_iv, 164_312_c_1, 164_312_c_2, 164_312_e_2_ii | PCI-4.0: 3.5.1.20, 8.3.2.34 | FFIEC: d3-pc-am-b-12 | CIS-1.5: 2.2.1 | ProwlerThreatScore-1.0: 4.2.1 | NIST-800-53-Revision-5: au_9_3, cm_6_a, cm_9_b, cp_9_d, sc_8_3, sc_8_4, sc_13_a, sc_28_1, si_19_4 | ENS-RD2022: mp.si.2.aws.kms.1 | SOC2: pi_1_5 | FedRamp-Moderate-Revision-4: sc-28 | KISA-ISMS-P-2023: 2.7.1, 2.10.2 | RBI-Cyber-Security-Framework: annex_i_1_3 | CIS-3.0: 2.2.1 | CIS-1.4: 2.2.1 | CIS-4.0.1: 5.1.1 | NIST-800-53-Revision-4: sc_28 | CISA: your-systems-3, your-data-1, your-data-2 | CIS-2.0: 2.2.1 | GDPR: article_32 | PCI-3.2.1: 3.4, 3.4.1, 3.4.1.a, 3.4.1.c, 3.4.a, 3.4.b, 8.2, 8.2.1, 8.2.1.a | GxP-21-CFR-Part-11: 11.10-g, 11.30 | ISO27001-2022: A.8.11, A.8.24 | AWS-Audit-Manager-Control-Tower-Guardrails: 1.0.3 | CCC: CCC.Core.CN02.AR01 | CIS-5.0: 5.1.1 | GxP-EU-Annex-11: 7.1-data-storage-damage-protection | AWS-Well-Architected-Framework-Security-Pillar: SEC08-BP02 | NIST-CSF-1.1: ds_1;encryption;;;;5.15.1;
profile: None;2025-12-17 16:42:12.021124;509256336937;;;;;;prowler-aws-ec2_ebs_volume_encryption-509256336937-us-east-1-vol-021ac1c3a008bf32b;aws;ec2_ebs_volume_encryption;Ensure there are no EBS Volumes unencrypted.;Data Protection;FAIL;EBS Snapshot vol-021ac1c3a008bf32b is unencrypted.;False;ec2;volume;medium;AwsEc2Volume;arn:aws:ec2:us-east-1:509256336937:volume/vol-021ac1c3a008bf32b;vol-021ac1c3a008bf32b;;;aws;us-east-1;Ensure there are no EBS Volumes unencrypted.;Data encryption at rest prevents data visibility in the event of its unauthorized access or theft.;;Encrypt all EBS volumes and Enable Encryption by default You can configure your AWS account to enforce the encryption of the new EBS volumes and snapshot copies that you create. For example, Amazon EBS encrypts the EBS volumes created when you launch an instance and the snapshots that you copy from an unencrypted snapshot.;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html;;;;;KISA-ISMS-P-2023-korean: 2.7.1, 2.10.2 | C5-2025: OPS-31.01B, IAM-07.03B, CRY-01.02AC, CRY-03.01B, CRY-05.01AC, PSS-12.02B | MITRE-ATTACK: T1119 | AWS-Foundational-Security-Best-Practices: EC2.3 | NIST-800-171-Revision-2: 3_5_10, 3_13_11, 3_13_16 | HIPAA: 164_308_a_1_ii_b, 164_308_a_4_ii_a, 164_312_a_2_iv, 164_312_c_1, 164_312_c_2, 164_312_e_2_ii | PCI-4.0: 3.5.1.20, 8.3.2.34 | FFIEC: d3-pc-am-b-12 | CIS-1.5: 2.2.1 | ProwlerThreatScore-1.0: 4.2.1 | NIST-800-53-Revision-5: au_9_3, cm_6_a, cm_9_b, cp_9_d, sc_8_3, sc_8_4, sc_13_a, sc_28_1, si_19_4 | ENS-RD2022: mp.si.2.aws.kms.1 | SOC2: pi_1_5 | FedRamp-Moderate-Revision-4: sc-28 | KISA-ISMS-P-2023: 2.7.1, 2.10.2 | RBI-Cyber-Security-Framework: annex_i_1_3 | CIS-3.0: 2.2.1 | CIS-1.4: 2.2.1 | CIS-4.0.1: 5.1.1 | NIST-800-53-Revision-4: sc_28 | CISA: your-systems-3, your-data-1, your-data-2 | CIS-2.0: 2.2.1 | GDPR: article_32 | PCI-3.2.1: 3.4, 3.4.1, 3.4.1.a, 3.4.1.c, 3.4.a, 3.4.b, 8.2, 8.2.1, 8.2.1.a | GxP-21-CFR-Part-11: 11.10-g, 11.30 | ISO27001-2022: A.8.11, A.8.24 | AWS-Audit-Manager-Control-Tower-Guardrails: 1.0.3 | CCC: CCC.Core.CN02.AR01 | CIS-5.0: 5.1.1 | GxP-EU-Annex-11: 7.1-data-storage-damage-protection | AWS-Well-Architected-Framework-Security-Pillar: SEC08-BP02 | NIST-CSF-1.1: ds_1;encryption;;;;5.15.1;
profile: None;2025-12-17 16:42:12.021124;509256336937;;;;;;prowler-aws-ec2_ebs_volume_encryption-509256336937-us-east-1-vol-0178f60ed7770e817;aws;ec2_ebs_volume_encryption;Ensure there are no EBS Volumes unencrypted.;Data Protection;FAIL;EBS Snapshot vol-0178f60ed7770e817 is unencrypted.;False;ec2;volume;medium;AwsEc2Volume;arn:aws:ec2:us-east-1:509256336937:volume/vol-0178f60ed7770e817;vol-0178f60ed7770e817;;;aws;us-east-1;Ensure there are no EBS Volumes unencrypted.;Data encryption at rest prevents data visibility in the event of its unauthorized access or theft.;;Encrypt all EBS volumes and Enable Encryption by default You can configure your AWS account to enforce the encryption of the new EBS volumes and snapshot copies that you create. For example, Amazon EBS encrypts the EBS volumes created when you launch an instance and the snapshots that you copy from an unencrypted snapshot.;https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSEncryption.html;;;;;KISA-ISMS-P-2023-korean: 2.7.1, 2.10.2 | C5-2025: OPS-31.01B, IAM-07.03B, CRY-01.02AC, CRY-03.01B, CRY-05.01AC, PSS-12.02B | MITRE-ATTACK: T1119 | AWS-Foundational-Security-Best-Practices: EC2.3 | NIST-800-171-Revision-2: 3_5_10, 3_13_11, 3_13_16 | HIPAA: 164_308_a_1_ii_b, 164_308_a_4_ii_a, 164_312_a_2_iv, 164_312_c_1, 164_312_c_2, 164_312_e_2_ii | PCI-4.0: 3.5.1.20, 8.3.2.34 | FFIEC: d3-pc-am-b-12 | CIS-1.5: 2.2.1 | ProwlerThreatScore-1.0: 4.2.1 | NIST-800-53-Revision-5: au_9_3, cm_6_a, cm_9_b, cp_9_d, sc_8_3, sc_8_4, sc_13_a, sc_28_1, si_19_4 | ENS-RD2022: mp.si.2.aws.kms.1 | SOC2: pi_1_5 | FedRamp-Moderate-Revision-4: sc-28 | KISA-ISMS-P-2023: 2.7.1, 2.10.2 | RBI-Cyber-Security-Framework: annex_i_1_3 | CIS-3.0: 2.2.1 | CIS-1.4: 2.2.1 | CIS-4.0.1: 5.1.1 | NIST-800-53-Revision-4: sc_28 | CISA: your-systems-3, your-data-1, your-data-2 | CIS-2.0: 2.2.1 | GDPR: article_32 | PCI-3.2.1: 3.4, 3.4.1, 3.4.1.a, 3.4.1.c, 3.4.a, 3.4.b, 8.2, 8.2.1, 8.2.1.a | GxP-21-CFR-Part-11: 11.10-g, 11.30 | ISO27001-2022: A.8.11, A.8.24 | AWS-Audit-Manager-Control-Tower-Guardrails: 1.0.3 | CCC: CCC.Core.CN02.AR01 | CIS-5.0: 5.1.1 | GxP-EU-Annex-11: 7.1-data-storage-damage-protection | AWS-Well-Architected-Framework-Security-Pillar: SEC08-BP02 | NIST-CSF-1.1: ds_1;encryption;;;;5.15.1;
profile: None;2025-12-17 16:42:12.021124;509256336937;;;;;;prowler-aws-ec2_ebs_volume_protected_by_backup_plan-509256336937-eu-north-1-vol-0202cdf9da83fda20;aws;ec2_ebs_volume_protected_by_backup_plan;Amazon EBS volumes should be protected by a backup plan.;Software and Configuration Checks, AWS Security Best Practices;FAIL;EBS Volume vol-0202cdf9da83fda20 is not protected by a backup plan.;False;ec2;;low;AwsEc2Volume;arn:aws:ec2:eu-north-1:509256336937:volume/vol-0202cdf9da83fda20;vol-0202cdf9da83fda20;;;aws;eu-north-1;Evaluates if an Amazon EBS volume in in-use state is covered by a backup plan. The check fails if an EBS volume isn't covered by a backup plan. If you set the backupVaultLockCheck parameter equal to true, the control passes only if the EBS volume is backed up in an AWS Backup locked vault.;Without backup coverage, Amazon EBS volumes are vulnerable to data loss or deletion, reducing the resilience of your systems and making recovery from incidents more difficult.;https://docs.aws.amazon.com/config/latest/developerguide/ebs-resources-protected-by-backup-plan.html;Ensure that all in-use Amazon EBS volumes are included in a backup plan, and consider using AWS Backup Vault Lock for additional protection.;https://docs.aws.amazon.com/aws-backup/latest/devguide/assigning-resources.html;;;;https://docs.aws.amazon.com/securityhub/latest/userguide/ec2-controls.html#ec2-28;KISA-ISMS-P-2023-korean: 2.9.3, 2.12.1 | C5-2025: OPS-06.01B, OPS-07.01B, DEV-11.02B, BCM-01.01B, BCM-01.02B, BCM-02.01B | NIST-CSF-2.0: ds_3, ip_4, rc_rp_1 | NIS2: 3.6.2, 4.1.2.g, 12.1.2.c, 12.2.2.b | AWS-Foundational-Security-Best-Practices: EC2.28 | PCI-4.0: 10.3.3.12, 10.3.3.13, 10.3.3.14, 10.3.3.24 | KISA-ISMS-P-2023: 2.9.3, 2.12.1 | PCI-3.2.1: 3.1, 3.1.c | ISO27001-2022: A.8.14;redundancy;;;;5.15.1;
profile: None;2025-12-17 16:42:12.021124;509256336937;;;;;;prowler-aws-ec2_ebs_volume_protected_by_backup_plan-509256336937-eu-north-1-vol-0a8e4e6347e00e8e4;aws;ec2_ebs_volume_protected_by_backup_plan;Amazon EBS volumes should be protected by a backup plan.;Software and Configuration Checks, AWS Security Best Practices;FAIL;EBS Volume vol-0a8e4e6347e00e8e4 is not protected by a backup plan.;False;ec2;;low;AwsEc2Volume;arn:aws:ec2:eu-north-1:509256336937:volume/vol-0a8e4e6347e00e8e4;vol-0a8e4e6347e00e8e4;;;aws;eu-north-1;Evaluates if an Amazon EBS volume in in-use state is covered by a backup plan. The check fails if an EBS volume isn't covered by a backup plan. If you set the backupVaultLockCheck parameter equal to true, the control passes only if the EBS volume is backed up in an AWS Backup locked vault.;Without backup coverage, Amazon EBS volumes are vulnerable to data loss or deletion, reducing the resilience of your systems and making recovery from incidents more difficult.;https://docs.aws.amazon.com/config/latest/developerguide/ebs-resources-protected-by-backup-plan.html;Ensure that all in-use Amazon EBS volumes are included in a backup plan, and consider using AWS Backup Vault Lock for additional protection.;https://docs.aws.amazon.com/aws-backup/latest/devguide/assigning-resources.html;;;;https://docs.aws.amazon.com/securityhub/latest/userguide/ec2-controls.html#ec2-28;KISA-ISMS-P-2023-korean: 2.9.3, 2.12.1 | C5-2025: OPS-06.01B, OPS-07.01B, DEV-11.02B, BCM-01.01B, BCM-01.02B, BCM-02.01B | NIST-CSF-2.0: ds_3, ip_4, rc_rp_1 | NIS2: 3.6.2, 4.1.2.g, 12.1.2.c, 12.2.2.b | AWS-Foundational-Security-Best-Practices: EC2.28 | PCI-4.0: 10.3.3.12, 10.3.3.13, 10.3.3.14, 10.3.3.24 | KISA-ISMS-P-2023: 2.9.3, 2.12.1 | PCI-3.2.1: 3.1, 3.1.c | ISO27001-2022: A.8.14;redundancy;;;;5.15.1;
profile: None;2025-12-17 16:42:12.021124;509256336937;;;;;;prowler-aws-ec2_ebs_volume_protected_by_backup_plan-509256336937-us-east-1-vol-021ac1c3a008bf32b;aws;ec2_ebs_volume_protected_by_backup_plan;Amazon EBS volumes should be protected by a backup plan.;Software and Configuration Checks, AWS Security Best Practices;FAIL;EBS Volume vol-021ac1c3a008bf32b is not protected by a backup plan.;False;ec2;;low;AwsEc2Volume;arn:aws:ec2:us-east-1:509256336937:volume/vol-021ac1c3a008bf32b;vol-021ac1c3a008bf32b;;;aws;us-east-1;Evaluates if an Amazon EBS volume in in-use state is covered by a backup plan. The check fails if an EBS volume isn't covered by a backup plan. If you set the backupVaultLockCheck parameter equal to true, the control passes only if the EBS volume is backed up in an AWS Backup locked vault.;Without backup coverage, Amazon EBS volumes are vulnerable to data loss or deletion, reducing the resilience of your systems and making recovery from incidents more difficult.;https://docs.aws.amazon.com/config/latest/developerguide/ebs-resources-protected-by-backup-plan.html;Ensure that all in-use Amazon EBS volumes are included in a backup plan, and consider using AWS Backup Vault Lock for additional protection.;https://docs.aws.amazon.com/aws-backup/latest/devguide/assigning-resources.html;;;;https://docs.aws.amazon.com/securityhub/latest/userguide/ec2-controls.html#ec2-28;KISA-ISMS-P-2023-korean: 2.9.3, 2.12.1 | C5-2025: OPS-06.01B, OPS-07.01B, DEV-11.02B, BCM-01.01B, BCM-01.02B, BCM-02.01B | NIST-CSF-2.0: ds_3, ip_4, rc_rp_1 | NIS2: 3.6.2, 4.1.2.g, 12.1.2.c, 12.2.2.b | AWS-Foundational-Security-Best-Practices: EC2.28 | PCI-4.0: 10.3.3.12, 10.3.3.13, 10.3.3.14, 10.3.3.24 | KISA-ISMS-P-2023: 2.9.3, 2.12.1 | PCI-3.2.1: 3.1, 3.1.c | ISO27001-2022: A.8.14;redundancy;;;;5.15.1;
profile: None;2025-12-17 16:42:12.021124;509256336937;;;;;;prowler-aws-ec2_ebs_volume_protected_by_backup_plan-509256336937-us-east-1-vol-0178f60ed7770e817;aws;ec2_ebs_volume_protected_by_backup_plan;Amazon EBS volumes should be protected by a backup plan.;Software and Configuration Checks, AWS Security Best Practices;FAIL;EBS Volume vol-0178f60ed7770e817 is not protected by a backup plan.;False;ec2;;low;AwsEc2Volume;arn:aws:ec2:us-east-1:509256336937:volume/vol-0178f60ed7770e817;vol-0178f60ed7770e817;;;aws;us-east-1;Evaluates if an Amazon EBS volume in in-use state is covered by a backup plan. The check fails if an EBS volume isn't covered by a backup plan. If you set the backupVaultLockCheck parameter equal to true, the control passes only if the EBS volume is backed up in an AWS Backup locked vault.;Without backup coverage, Amazon EBS volumes are vulnerable to data loss or deletion, reducing the resilience of your systems and making recovery from incidents more difficult.;https://docs.aws.amazon.com/config/latest/developerguide/ebs-resources-protected-by-backup-plan.html;Ensure that all in-use Amazon EBS volumes are included in a backup plan, and consider using AWS Backup Vault Lock for additional protection.;https://docs.aws.amazon.com/aws-backup/latest/devguide/assigning-resources.html;;;;https://docs.aws.amazon.com/securityhub/latest/userguide/ec2-controls.html#ec2-28;KISA-ISMS-P-2023-korean: 2.9.3, 2.12.1 | C5-2025: OPS-06.01B, OPS-07.01B, DEV-11.02B, BCM-01.01B, BCM-01.02B, BCM-02.01B | NIST-CSF-2.0: ds_3, ip_4, rc_rp_1 | NIS2: 3.6.2, 4.1.2.g, 12.1.2.c, 12.2.2.b | AWS-Foundational-Security-Best-Practices: EC2.28 | PCI-4.0: 10.3.3.12, 10.3.3.13, 10.3.3.14, 10.3.3.24 | KISA-ISMS-P-2023: 2.9.3, 2.12.1 | PCI-3.2.1: 3.1, 3.1.c | ISO27001-2022: A.8.14;redundancy;;;;5.15.1;
